Date Caught,USGS Band #,Species,Sex,Bacterial_Killing_Percentage
5-Apr-22,2831-98007,HOFI,Male,64.85084306
5-Apr-22,2831-98009,HOFI,Male,66.01815824
13-Apr-22,2831-98010,HOFI,Male,61.59567275
13-Apr-22,2831-98011,HOFI,Male,64.6382691
13-Apr-22,2831-98013,HOFI,Male,59.16159567
13-Apr-22,2831-98015,HOFI,Male,59.09398242
13-Apr-22,2831-98020,HOFI,Male,65.93886463
13-Apr-22,2831-98022,HOFI,Male,63.21998612
14-Apr-22,2831-98025,HOFI,Male,64.10098522
14-Apr-22,2831-98027,HOFI,Male,64.59359606
14-Apr-22,2831-98028,HOFI,Male,68.16502463
14-Apr-22,2831-98029,HOFI,Male,67.61083744
14-Apr-22,2831-98030,HOFI,Male,58.12807882
23-Apr-22,2941-07847,HOFI,Male,62.08665906
23-Apr-22,2941-07812,HOFI,Male,49.90176817
23-Apr-22,2831-98037,HOFI,Male,52.25933202
26-Apr-22,2941-07861,HOFI,Male,62.5
26-Apr-22,2831-98039,HOFI,Male,50.80645161
28-Apr-22,2831-98041,HOFI,Male,61.63636364
28-Apr-22,2831-98043,HOFI,Male,55.51515152
28-Apr-22,2831-98045,HOFI,Male,60.98104794
3-May-22,2831-98048,HOFI,Male,63.77864729
3-May-22,2831-98049,HOFI,Male,54.16433762
3-May-22,2831-98051,HOFI,Male,60.64840693
3-May-22,2831-98054,HOFI,Male,59.2509782
3-May-22,2831-98056,HOFI,Male,50.13974287
3-May-22,2831-98057,HOFI,Male,56.00894354
3-May-22,2831-98058,HOFI,Male,61.31917272
5-May-22,2831-98060,HOFI,Male,60.66240558
10-May-22,2831-98062,HOFI,Male,40.79035499
10-May-22,2941-07823,HOFI,Male,49.16275954
10-May-22,2941-07846,HOFI,Male,49.96651038
12-Jan-23,2940-13852,LEGO,Male,31.604426
12-Jan-23,2940-13854,LEGO,Male,26.69432918
12-Jan-23,2940-13855,LEGO,Male,28.42323651
12-Jan-23,2940-13856,LEGO,Male,26.76348548
12-Jan-23,2940-13857,LEGO,Male,29.5988935
12-Jan-23,2940-13859,LEGO,Male,32.29598893
12-Jan-23,2940-13860,LEGO,Male,36.86030429
12-Jan-23,2940-13861,LEGO,Male,29.87551867
12-Jan-23,2940-13862,LEGO,Male,32.78008299
21-Jan-23,2940-13863,LEGO,Male,25.21489971
21-Jan-23,2940-13864,LEGO,Male,31.4469914
21-Jan-23,2940-13866,LEGO,Male,26.86246418
24-Jan-23,2940-13869,LEGO,Male,25.84593233
24-Jan-23,2940-13873,LEGO,Male,25.6299496
24-Jan-23,2940-13874,LEGO,Male,25.34197264
2-Feb-23,2940-13875,LEGO,Male,28.27781715
3-Feb-23,2940-13876,LEGO,Male,26.57689582
4-Feb-23,2940-13877,LEGO,Male,27.00212615
5-Feb-23,2940-13878,AMGO,Male,20.48192771
6-Feb-23,2940-13879,LEGO,Male,27.49822821
7-Feb-23,2940-13880,LEGO,Male,27.56909993
8-Feb-23,2940-13881,LEGO,Male,29.55350815
9-Feb-23,2940-13882,LEGO,Male,26.86038271
10-Feb-23,2940-13883,LEGO,Male,25.15946137
12-Feb-23,2940-13885,LEGO,Male,21.33238838
13-Feb-23,2940-13886,LEGO,Male,25.93905032
20-Feb-23,2940-13889,AMGO,Male,26.25368732
20-Feb-23,2940-13890,AMGO,Male,25.36873156
20-Feb-23,2940-13891,AMGO,Male,24.85250737
20-Feb-23,2940-13892,LEGO,Male,27.43362832
20-Feb-23,2940-13893,LEGO,Male,24.77876106
20-Feb-23,2940-13894,LEGO,Male,23.74631268
20-Feb-23,2940-13895,AMGO,Male,25.29498525
20-Feb-23,2940-13896,LEGO,Male,20.28023599
20-Feb-23,2940-13897,LEGO,Male,27.80235988
2-Mar-23,2940-13898,LEGO,Male,19.09433962
2-Mar-23,2940-138900,AMGO,Male,22.03773585
7-Mar-23,3010-18105,LEGO,Male,17.71626298
7-Mar-23,3010-18107,AMGO,Male,23.94463668
7-Mar-23,3010-18109,AMGO,Male,18.33910035
